Round,Global_Accuracy,Global_F1,Personalized_Accuracy,Personalized_F1,KD_Accuracy,KD_F1
1,0.9333333373069763,0.9491525423728813,0.9333333373069763,0.9491525423728813,0.9333333373069763,0.9491525423728813
2,0.9111111164093018,0.9310344827586206,0.9555555582046509,0.9655172413793103,0.9555555582046509,0.9655172413793103
3,0.9333333373069763,0.9473684210526315,0.9777777791023254,0.9824561403508771,0.9777777791023254,0.9824561403508771
4,0.9555555582046509,0.9655172413793103,0.9888888597488403,0.9911504424778761,0.9777777791023254,0.9824561403508771
5,0.9555555582046509,0.9655172413793103,0.9777777791023254,0.9824561403508771,0.9777777791023254,0.9824561403508771
6,0.9777777791023254,0.9824561403508771,0.9777777791023254,0.9824561403508771,0.9777777791023254,0.9824561403508771
7,0.9777777791023254,0.9824561403508771,0.9888888597488403,0.9911504424778761,0.9777777791023254,0.9824561403508771
8,0.9777777791023254,0.9824561403508771,0.9888888597488403,0.9911504424778761,0.9888888597488403,0.9911504424778761
9,0.9777777791023254,0.9824561403508771,0.9888888597488403,0.9911504424778761,0.9888888597488403,0.9911504424778761
10,0.9888888597488403,0.9911504424778761,0.9888888597488403,0.9911504424778761,0.9888888597488403,0.9911504424778761
